NZHSC Code Hierarchy - NZHSC Level 2 Code,NZHSC Code Hierarchy - NZHSC Level 4 Code,NZHSC Code Hierarchy - NZHSC Level 6 Code,NZHSC Description Hierarchy - NZHSC Level 2 Description,NZHSC Description Hierarchy - NZHSC Level 4 Description,NZHSC Description Hierarchy - NZHSC Level 6 Description,Primary Industry Sector,SOPI Forecast Group,Granular Group
20,2005,200590,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006","Vegetable preparations; vegetables and mixtures of vegetables n.e.s. in heading no. 2005, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",Horticulture,Other Processed Vegetables,Unknown
20,2005,200591,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006","Vegetable preparations; bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",Horticulture,Other Processed Vegetables,Unknown
20,2005,200599,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006","Vegetable preparations; vegetables and mixtures of vegetables n.e.c. in heading no. 2005, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",Horticulture,Other Processed Vegetables,Unknown
20,2006,200600,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)","Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",Horticulture,Other Processed Vegetables,Unknown
20,2008,200899,"Preparations of vegetables, fruit, nuts or other parts of plants","Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included","Fruit, nuts and other edible parts of plants; prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit, n.e.c. in heading no. 2008",Horticulture,Other Processed Vegetables,Unknown
07,0701,070190,Vegetables and certain roots and tubers; edible,Potatoes; fresh or chilled,"Vegetables; potatoes (other than seed), fresh or chilled",Horticulture,Potatoes,Unknown
07,0709,070990,Vegetables and certain roots and tubers; edible,"Vegetables; n.e.c. in chapter 07, fresh or chilled","Vegetables; edible, n.e.c. in chapter 7, fresh or chilled",Horticulture,Squash,Unknown
07,0709,070993,Vegetables and certain roots and tubers; edible,"Vegetables; n.e.c. in chapter 07, fresh or chilled","Vegetables; pumpkins, squash and gourds (Cucurbita spp.), fresh or chilled",Horticulture,Squash,Unknown
20,2009,200950,"Preparations of vegetables, fruit, nuts or other parts of plants","Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter","Juice; tomato, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",Horticulture,Vegetable Juice,Unknown
20,2009,200980,"Preparations of vegetables, fruit, nuts or other parts of plants","Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter","Juice; of any single fruit or vegetable n.e.c. in heading no. 2009, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",Horticulture,Vegetable Juice,Unknown
